"id","date","confirmed","novos_casos","novos_casos_mm7d","novos_casos_mm7d_10k","deaths","novas_mortes","novas_mortes_mm7d","novas_mortes_mm7d_10k","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","pop_pct_vacinada","pop_pct_naovacinada","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm","retail_and_recreation_percent_change_from_baseline","retail_pct_mm7d","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"1","9164293b",2020-01-11,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"United Kingdom",NA,NA,55.3781,-3.436,66460344,"GBR","GB",826,"GBP",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ","United Kingdom","GB",NA,"GBR",NA,NA,NA,NA,NA,NA,NA
"2","9164293b",2020-01-12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"United Kingdom",NA,NA,55.3781,-3.436,66460344,"GBR","GB",826,"GBP",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ","United Kingdom","GB",NA,"GBR",NA,NA,NA,NA,NA,NA,NA
"3","9164293b",2020-01-13,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"United Kingdom",NA,NA,55.3781,-3.436,66460344,"GBR","GB",826,"GBP",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ","United Kingdom","GB",NA,"GBR",NA,NA,NA,NA,NA,NA,NA
"4","9164293b",2020-01-14,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"United Kingdom",NA,NA,55.3781,-3.436,66460344,"GBR","GB",826,"GBP",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ","United Kingdom","GB",NA,"GBR",NA,NA,NA,NA,NA,NA,NA
"5","9164293b",2020-01-15,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"United Kingdom",NA,NA,55.3781,-3.436,66460344,"GBR","GB",826,"GBP",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ","United Kingdom","GB",NA,"GBR",NA,NA,NA,NA,NA,NA,NA
"6","9164293b",2020-01-16,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"United Kingdom",NA,NA,55.3781,-3.436,66460344,"GBR","GB",826,"GBP",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ","United Kingdom","GB",NA,"GBR",NA,NA,NA,NA,NA,NA,NA
"7","9164293b",2020-01-17,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"United Kingdom",NA,NA,55.3781,-3.436,66460344,"GBR","GB",826,"GBP",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ","United Kingdom","GB",NA,"GBR",NA,NA,NA,NA,NA,NA,NA
"8","9164293b",2020-01-18,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"United Kingdom",NA,NA,55.3781,-3.436,66460344,"GBR","GB",826,"GBP",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ","United Kingdom","GB",NA,"GBR",NA,NA,NA,NA,NA,NA,NA
"9","9164293b",2020-01-19,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"United Kingdom",NA,NA,55.3781,-3.436,66460344,"GBR","GB",826,"GBP",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ","United Kingdom","GB",NA,"GBR",NA,NA,NA,NA,NA,NA,NA
"10","9164293b",2020-01-20,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.21,5.56,5.95,0,1,"United Kingdom",NA,NA,55.3781,-3.436,66460344,"GBR","GB",826,"GBP",NA,"ChIJqZHHQhE7WgIReiWIMkOg-MQ","United Kingdom","GB",NA,"GBR",NA,NA,NA,NA,NA,NA,NA
